,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
VJEREI,2,C:USDJPY,2024-05-15 16:45:00+00:00,155.010875175,2024-05-16 00:30:00+00:00,154,1,1,-1.0108751749999954,100.5887957250001
JEKWJ3,2,C:USDJPY,2024-05-15 16:50:00+00:00,154.9841253,2024-05-16 00:30:00+00:00,154,-1,1,0.9841252999999881,101.57292102500008
65JICZ,2,C:USDJPY,2024-05-15 18:45:00+00:00,154.993125075,2024-05-16 00:30:00+00:00,154,-1,1,0.9931250749999947,102.56604610000008
JRS1YW,2,C:USDJPY,2024-05-15 19:35:00+00:00,155.01387524999998,2024-05-16 00:30:00+00:00,154,1,1,-1.013875249999984,101.5521708500001
JJDGOZ,2,C:USDJPY,2024-05-15 19:40:00+00:00,154.98212535,2024-05-16 00:30:00+00:00,154,-1,1,0.9821253499999898,102.53429620000009
6BO78X,2,C:USDJPY,2024-05-16 00:30:00+00:00,153.951151125,2024-05-16 12:35:00+00:00,155,-1,1,-1.0488488750000045,101.48544732500008
W95P15,2,C:USDJPY,2024-05-16 01:50:00+00:00,154.043851,2024-05-16 12:35:00+00:00,155,1,1,0.9561490000000106,102.44159632500009
J0ZELM,2,C:USDJPY,2024-05-16 02:35:00+00:00,153.90215235,2024-05-16 12:35:00+00:00,155,-1,1,-1.0978476500000056,101.34374867500009
VDD6M7,2,C:USDJPY,2024-05-16 02:55:00+00:00,154.00885012499998,2024-05-16 12:35:00+00:00,155,1,1,0.9911498750000192,102.3348985500001
UUH4D7,2,C:USDJPY,2024-05-16 03:05:00+00:00,153.973150575,2024-05-16 12:35:00+00:00,155,-1,1,-1.0268494249999947,101.30804912500011
GAUXLJ,2,C:USDJPY,2024-05-16 03:40:00+00:00,154.016850325,2024-05-16 12:35:00+00:00,155,1,1,0.9831496749999928,102.2911988000001
2WWYCE,2,C:USDJPY,2024-05-16 03:50:00+00:00,153.973150575,2024-05-16 12:35:00+00:00,155,-1,1,-1.0268494249999947,101.26434937500011
IKQUTS,2,C:USDJPY,2024-05-16 04:15:00+00:00,154.00385,2024-05-16 12:35:00+00:00,155,1,1,0.9961500000000001,102.26049937500011
HYZDCC,2,C:USDJPY,2024-05-16 04:30:00+00:00,154.046851075,2024-05-16 12:35:00+00:00,155,1,1,0.9531489249999936,103.2136483000001
1MI9D6,2,C:USDJPY,2024-05-16 04:35:00+00:00,153.887152725,2024-05-16 12:35:00+00:00,155,-1,1,-1.1128472750000071,102.1008010250001
VP25JR,2,C:USDJPY,2024-05-16 05:40:00+00:00,154.04185095,2024-05-16 12:35:00+00:00,155,1,1,0.9581490500000029,103.0589500750001
61PR18,2,C:USDJPY,2024-05-16 12:35:00+00:00,155.15487877500001,2024-05-20 12:35:00+00:00,156,1,1,0.8451212249999855,103.90407130000008
CWH8ZT,2,C:USDJPY,2024-05-20 12:35:00+00:00,156.150903675,2024-05-23 13:45:00+00:00,157,1,1,0.849096325000005,104.75316762500009
92JOV9,2,C:USDJPY,2024-05-21 14:50:00+00:00,155.919101925,2024-05-23 13:45:00+00:00,157,-1,1,-1.0808980749999932,103.6722695500001
14RTG2,2,C:USDJPY,2024-05-21 15:05:00+00:00,156.0359008,2024-05-23 13:45:00+00:00,157,1,1,0.9640991999999926,104.63636875000009
HMH7HX,2,C:USDJPY,2024-05-21 15:10:00+00:00,155.97810045,2024-05-23 13:45:00+00:00,157,-1,1,-1.0218995500000005,103.61446920000009
VTZX3V,2,C:USDJPY,2024-05-21 15:15:00+00:00,156.06190145,2024-05-23 13:45:00+00:00,157,1,1,0.9380985500000065,104.5525677500001
QVKIGQ,2,C:USDJPY,2024-05-23 13:45:00+00:00,157.0519262,2024-06-03 15:55:00+00:00,156,1,1,-1.051926199999997,103.5006415500001
MBCIDO,2,C:USDJPY,2024-05-23 14:15:00+00:00,157.0719267,2024-06-03 15:55:00+00:00,156,1,1,-1.071926700000006,102.42871485000009
