,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL
HUU178,2,C:USDJPY,2022-06-02 02:30:00+00:00,130.08050370000004,2022-06-06 14:05:00+00:00,131,1,1,0.9194962999999632
N228OA,2,C:USDJPY,2022-06-02 05:15:00+00:00,129.9695012,2022-06-06 14:05:00+00:00,131,-1,1,-1.0304988000000037
Z634D4,2,C:USDJPY,2022-06-02 05:20:00+00:00,130.02150075,2022-06-06 14:05:00+00:00,131,1,1,0.9784992499999987
7PETVF,2,C:USDJPY,2022-06-02 06:00:00+00:00,129.95450195,2022-06-06 14:05:00+00:00,131,-1,1,-1.045498049999992
R4H772,2,C:USDJPY,2022-06-03 07:00:00+00:00,130.00950015,2022-06-06 14:05:00+00:00,131,1,1,0.990499849999992
Z1YM4M,2,C:USDJPY,2022-06-03 07:05:00+00:00,129.99050015,2022-06-06 14:05:00+00:00,131,-1,1,-1.0094998499999974
WMSLFZ,2,C:USDJPY,2022-06-03 09:05:00+00:00,130.00950015,2022-06-06 14:05:00+00:00,131,1,1,0.990499849999992
2MN6HX,2,C:USDJPY,2022-06-06 14:05:00+00:00,131.0545524,2022-06-06 18:55:00+00:00,132,1,1,0.9454475999999943
JES5CO,2,C:USDJPY,2022-06-06 19:00:00+00:00,131.94240255000003,2022-06-07 06:15:00+00:00,133,-1,1,-1.0575974499999745
WKQ57H,2,C:USDJPY,2022-06-06 23:10:00+00:00,131.96540140000002,2022-06-07 06:15:00+00:00,133,-1,1,-1.0345985999999812
4L8YRR,2,C:USDJPY,2022-06-06 18:55:00+00:00,132.00960015,2022-06-08 00:55:00+00:00,133,1,1,0.9903998499999886
I2602Z,2,C:USDJPY,2022-06-06 23:05:00+00:00,132.00860010000002,2022-06-08 00:55:00+00:00,133,1,1,0.9913998999999762
DXJE4A,2,C:USDJPY,2022-06-06 23:20:00+00:00,132.15560745000002,2022-06-08 00:55:00+00:00,133,1,1,0.8443925499999807
LAXNAX,2,C:USDJPY,2022-06-08 01:25:00+00:00,132.88835525000002,2022-06-08 10:35:00+00:00,134,-1,1,-1.1116447499999822
TJHD0Z,2,C:USDJPY,2022-06-08 02:10:00+00:00,132.97135110000002,2022-06-08 10:35:00+00:00,134,-1,1,-1.028648899999979
SQV5PG,2,C:USDJPY,2022-06-08 02:30:00+00:00,132.9873503,2022-06-08 10:35:00+00:00,134,-1,1,-1.0126496999999972
EP7GE1,2,C:USDJPY,2022-06-08 03:00:00+00:00,132.9693512,2022-06-08 10:35:00+00:00,134,-1,1,-1.0306487999999945
RQI740,2,C:USDJPY,2022-06-08 03:15:00+00:00,132.93635285000002,2022-06-08 10:35:00+00:00,134,-1,1,-1.06364714999998
D5WWJW,2,C:USDJPY,2022-06-08 03:30:00+00:00,132.98835025,2022-06-08 10:35:00+00:00,134,-1,1,-1.0116497500000037
7LQ3WJ,2,C:USDJPY,2022-06-08 00:55:00+00:00,133.07565345,2022-06-08 10:45:00+00:00,134,1,1,0.9243465499999957
9AWIUS,2,C:USDJPY,2022-06-08 01:20:00+00:00,133.0826538,2022-06-08 10:45:00+00:00,134,1,1,0.9173461999999972
BYUKJW,2,C:USDJPY,2022-06-08 01:30:00+00:00,133.02765105,2022-06-08 10:45:00+00:00,134,1,1,0.9723489499999971
OIM0Q8,2,C:USDJPY,2022-06-08 02:15:00+00:00,133.04165175,2022-06-08 10:45:00+00:00,134,1,1,0.9583482500000002
OHCDHJ,2,C:USDJPY,2022-06-08 02:55:00+00:00,133.0246509,2022-06-08 10:45:00+00:00,134,1,1,0.9753490999999883
UQIV9C,2,C:USDJPY,2022-06-08 03:05:00+00:00,133.04365185000003,2022-06-08 10:45:00+00:00,134,1,1,0.9563481499999682
15CUHB,2,C:USDJPY,2022-06-08 03:25:00+00:00,133.02565095000003,2022-06-08 10:45:00+00:00,134,1,1,0.9743490499999723
YVCQ64,2,C:USDJPY,2022-06-08 03:35:00+00:00,133.02865110000002,2022-06-08 10:45:00+00:00,134,1,1,0.9713488999999811
ZEH8YD,2,C:USDJPY,2022-06-08 10:55:00+00:00,133.99529990000002,2022-06-13 00:55:00+00:00,135,-1,1,-1.0047000999999796
V9BIT5,2,C:USDJPY,2022-06-08 11:00:00+00:00,133.9353029,2022-06-13 00:55:00+00:00,135,-1,1,-1.0646970999999894
AZ5EF4,2,C:USDJPY,2022-06-08 11:40:00+00:00,133.98830025,2022-06-13 00:55:00+00:00,135,-1,1,-1.0116997499999911
RVCI5S,2,C:USDJPY,2022-06-08 11:55:00+00:00,133.97730080000002,2022-06-13 00:55:00+00:00,135,-1,1,-1.0226991999999768
3G225H,2,C:USDJPY,2022-06-08 12:15:00+00:00,133.97930069999998,2022-06-13 00:55:00+00:00,135,-1,1,-1.0206993000000182
KF6LSY,2,C:USDJPY,2022-06-08 14:15:00+00:00,133.82430845,2022-06-13 00:55:00+00:00,135,-1,1,-1.1756915500000105
Y5MJY5,2,C:USDJPY,2022-06-08 16:20:00+00:00,133.9873003,2022-06-13 00:55:00+00:00,135,-1,1,-1.012699700000013
9RL9D3,2,C:USDJPY,2022-06-08 17:30:00+00:00,133.9713011,2022-06-13 00:55:00+00:00,135,-1,1,-1.0286988999999949
35XH85,2,C:USDJPY,2022-06-09 03:45:00+00:00,133.91830375,2022-06-13 00:55:00+00:00,135,-1,1,-1.0816962499999931
UK4TER,2,C:USDJPY,2022-06-09 05:15:00+00:00,133.9373028,2022-06-13 00:55:00+00:00,135,-1,1,-1.0626972000000023
FRE6SK,2,C:USDJPY,2022-06-09 05:30:00+00:00,133.83430795,2022-06-13 00:55:00+00:00,135,-1,1,-1.1656920499999899
8FNEEU,2,C:USDJPY,2022-06-09 13:25:00+00:00,133.91330399999998,2022-06-13 00:55:00+00:00,135,-1,1,-1.0866960000000176
VO6KJH,2,C:USDJPY,2022-06-09 14:25:00+00:00,133.8853054,2022-06-13 00:55:00+00:00,135,-1,1,-1.114694600000007
4XY2IF,2,C:USDJPY,2022-06-09 15:40:00+00:00,133.94630235,2022-06-13 00:55:00+00:00,135,-1,1,-1.0536976500000037
HD2E7E,2,C:USDJPY,2022-06-10 02:25:00+00:00,133.973301,2022-06-13 00:55:00+00:00,135,-1,1,-1.0266990000000078
BIMT0W,2,C:USDJPY,2022-06-10 02:40:00+00:00,133.97230105000003,2022-06-13 00:55:00+00:00,135,-1,1,-1.027698949999973
RVLKKJ,2,C:USDJPY,2022-06-10 05:00:00+00:00,133.9433025,2022-06-13 00:55:00+00:00,135,-1,1,-1.0566975000000127
TQ9H92,2,C:USDJPY,2022-06-10 12:35:00+00:00,133.86430645000002,2022-06-13 00:55:00+00:00,135,-1,1,-1.135693549999985
39RU4F,2,C:USDJPY,2022-06-08 10:45:00+00:00,134.03370135,2022-06-13 04:05:00+00:00,135,1,1,0.9662986499999988
983HSU,2,C:USDJPY,2022-06-08 11:35:00+00:00,134.07770355000002,2022-06-13 04:05:00+00:00,135,1,1,0.9222964499999762
2DLJD7,2,C:USDJPY,2022-06-08 11:45:00+00:00,134.05470240000002,2022-06-13 04:05:00+00:00,135,1,1,0.9452975999999751
3DKQ34,2,C:USDJPY,2022-06-08 12:10:00+00:00,134.02970115000002,2022-06-13 04:05:00+00:00,135,1,1,0.9702988499999776
SBVXXG,2,C:USDJPY,2022-06-08 12:20:00+00:00,134.26771305,2022-06-13 04:05:00+00:00,135,1,1,0.7322869500000024
5VLXKQ,2,C:USDJPY,2022-06-08 15:55:00+00:00,134.05670250000003,2022-06-13 04:05:00+00:00,135,1,1,0.9432974999999715
57BP9X,2,C:USDJPY,2022-06-08 16:50:00+00:00,134.04170175000002,2022-06-13 04:05:00+00:00,135,1,1,0.9582982499999844
19NKW7,2,C:USDJPY,2022-06-08 17:40:00+00:00,134.02770105,2022-06-13 04:05:00+00:00,135,1,1,0.9722989500000097
7VNXJY,2,C:USDJPY,2022-06-09 04:00:00+00:00,134.01570045,2022-06-13 04:05:00+00:00,135,1,1,0.9842995500000029
1SNSM7,2,C:USDJPY,2022-06-09 05:25:00+00:00,134.0227008,2022-06-13 04:05:00+00:00,135,1,1,0.9772992000000045
17YDW2,2,C:USDJPY,2022-06-09 13:20:00+00:00,134.05070220000002,2022-06-13 04:05:00+00:00,135,1,1,0.9492977999999823
UQY5NJ,2,C:USDJPY,2022-06-09 14:20:00+00:00,134.0167005,2022-06-13 04:05:00+00:00,135,1,1,0.9832994999999869
8EFUQO,2,C:USDJPY,2022-06-09 14:35:00+00:00,134.06970315,2022-06-13 04:05:00+00:00,135,1,1,0.9302968499999906
LDXCST,2,C:USDJPY,2022-06-09 15:45:00+00:00,134.06670300000002,2022-06-13 04:05:00+00:00,135,1,1,0.9332969999999818
F8PUAX,2,C:USDJPY,2022-06-10 02:30:00+00:00,134.00670000000002,2022-06-13 04:05:00+00:00,135,1,1,0.9932999999999765
G1ZCY5,2,C:USDJPY,2022-06-10 02:45:00+00:00,134.02170075,2022-06-13 04:05:00+00:00,135,1,1,0.9782992499999921
AMRX86,2,C:USDJPY,2022-06-10 12:30:00+00:00,134.19270930000002,2022-06-13 04:05:00+00:00,135,1,1,0.8072906999999816
MYCCTQ,2,C:USDJPY,2022-06-10 13:15:00+00:00,134.1947094,2022-06-13 04:05:00+00:00,135,1,1,0.8052906000000064
3P0J7Q,2,C:USDJPY,2022-06-13 04:05:00+00:00,135.07875360000003,2022-06-13 12:25:00+00:00,134,1,1,-1.0787536000000273
0AJMT0,2,C:USDJPY,2022-06-13 04:15:00+00:00,134.98025065,2022-06-13 12:25:00+00:00,134,-1,1,0.9802506499999879
TV3IUI,2,C:USDJPY,2022-06-13 04:20:00+00:00,135.0167505,2022-06-13 12:25:00+00:00,134,1,1,-1.0167505000000006
CH1QRG,2,C:USDJPY,2022-06-13 04:45:00+00:00,134.98825025,2022-06-13 12:25:00+00:00,134,-1,1,0.988250249999993
9D0AS7,2,C:USDJPY,2022-06-13 04:50:00+00:00,135.00975015,2022-06-13 12:25:00+00:00,134,1,1,-1.0097501500000021
QHN72Y,2,C:USDJPY,2022-06-13 05:15:00+00:00,134.8752559,2022-06-13 12:25:00+00:00,134,-1,1,0.8752559000000133
UJY82Y,2,C:USDJPY,2022-06-13 12:25:00+00:00,133.9753009,2022-06-14 16:15:00+00:00,135,-1,1,-1.0246990999999923
NBK442,2,C:USDJPY,2022-06-13 13:00:00+00:00,133.93930269999998,2022-06-14 16:15:00+00:00,135,-1,1,-1.0606973000000153
AKIYVJ,2,C:USDJPY,2022-06-13 13:25:00+00:00,133.91830375,2022-06-14 16:15:00+00:00,135,-1,1,-1.0816962499999931
19PIJS,2,C:USDJPY,2022-06-13 16:15:00+00:00,133.95430195,2022-06-14 16:15:00+00:00,135,-1,1,-1.0456980499999986
55GT28,2,C:USDJPY,2022-06-14 00:25:00+00:00,133.92930320000002,2022-06-14 16:15:00+00:00,135,-1,1,-1.070696799999979
VVYCV3,2,C:USDJPY,2022-06-14 00:40:00+00:00,133.95630185,2022-06-14 16:15:00+00:00,135,-1,1,-1.0436981500000115
X4F4AG,2,C:USDJPY,2022-06-13 12:35:00+00:00,134.08670400000003,2022-06-14 17:00:00+00:00,135,1,1,0.9132959999999741
NNGDW0,2,C:USDJPY,2022-06-13 15:10:00+00:00,134.02470090000003,2022-06-14 17:00:00+00:00,135,1,1,0.9752990999999724
MKBQCT,2,C:USDJPY,2022-06-13 16:20:00+00:00,134.0327013,2022-06-14 17:00:00+00:00,135,1,1,0.9672986999999864
AMQ4JX,2,C:USDJPY,2022-06-14 00:35:00+00:00,134.06470290000001,2022-06-14 17:00:00+00:00,135,1,1,0.9352970999999854
OES94Q,2,C:USDJPY,2022-06-14 00:45:00+00:00,134.02670100000003,2022-06-14 17:00:00+00:00,135,1,1,0.9732989999999688
ENE65L,2,C:USDJPY,2022-06-14 18:45:00+00:00,135.08775405,2022-06-15 18:35:00+00:00,134,1,1,-1.087754050000001
6RFKR7,2,C:USDJPY,2022-06-15 00:50:00+00:00,134.96025165,2022-06-15 18:35:00+00:00,134,-1,1,0.9602516500000036
0KY0KM,2,C:USDJPY,2022-06-15 00:55:00+00:00,135.03075120000003,2022-06-15 18:35:00+00:00,134,1,1,-1.0307512000000258
IOV2OC,2,C:USDJPY,2022-06-15 05:05:00+00:00,134.9292532,2022-06-15 18:35:00+00:00,134,-1,1,0.9292532000000051
X0B3N5,2,C:USDJPY,2022-06-15 05:30:00+00:00,135.03175125,2022-06-15 18:35:00+00:00,134,1,1,-1.0317512500000134
NF0UZD,2,C:USDJPY,2022-06-15 05:45:00+00:00,134.8852554,2022-06-15 18:35:00+00:00,134,-1,1,0.8852554000000055
VLSNUR,2,C:USDJPY,2022-06-15 18:40:00+00:00,133.86030664999998,2022-06-16 09:15:00+00:00,133,-1,1,0.8603066499999841
V7HOTL,2,C:USDJPY,2022-06-15 18:50:00+00:00,134.2247109,2022-06-16 09:15:00+00:00,133,1,1,-1.224710899999991
PEVILQ,2,C:USDJPY,2022-06-15 19:00:00+00:00,133.9813006,2022-06-16 09:15:00+00:00,133,-1,1,0.9813005999999973
SFXOFO,2,C:USDJPY,2022-06-15 22:05:00+00:00,134.03470140000002,2022-06-16 09:15:00+00:00,133,1,1,-1.0347014000000172
WCFR1G,2,C:USDJPY,2022-06-16 08:10:00+00:00,133.97730080000002,2022-06-16 09:15:00+00:00,133,-1,1,0.9773008000000232
VEIH2M,2,C:USDJPY,2022-06-16 09:15:00+00:00,132.80235955,2022-06-16 15:40:00+00:00,132,-1,1,0.8023595500000056
7NVP9R,2,C:USDJPY,2022-06-16 09:45:00+00:00,133.02565095000003,2022-06-16 15:40:00+00:00,132,1,1,-1.0256509500000277
21GV5S,2,C:USDJPY,2022-06-16 09:55:00+00:00,132.87035615000002,2022-06-16 15:40:00+00:00,132,-1,1,0.8703561500000205
TWTYA0,2,C:USDJPY,2022-06-16 10:00:00+00:00,133.01165025,2022-06-16 15:40:00+00:00,132,1,1,-1.0116502500000024
REZ56H,2,C:USDJPY,2022-06-16 11:15:00+00:00,132.75436195,2022-06-16 15:40:00+00:00,132,-1,1,0.7543619500000034
Q7FONK,2,C:USDJPY,2022-06-16 15:40:00+00:00,131.8674063,2022-06-17 00:50:00+00:00,133,-1,1,-1.132593700000001
8YHGH8,2,C:USDJPY,2022-06-16 16:15:00+00:00,132.02760105,2022-06-17 00:50:00+00:00,133,1,1,0.972398950000013
ZQ7P3F,2,C:USDJPY,2022-06-16 16:20:00+00:00,131.98440045,2022-06-17 00:50:00+00:00,133,-1,1,-1.0155995499999904
CBWWSP,2,C:USDJPY,2022-06-16 17:20:00+00:00,132.03860160000002,2022-06-17 00:50:00+00:00,133,1,1,0.9613983999999789
0FMWMK,2,C:USDJPY,2022-06-16 17:45:00+00:00,131.94440244999998,2022-06-17 00:50:00+00:00,133,-1,1,-1.0555975500000159
RDIFGN,2,C:USDJPY,2022-06-16 17:55:00+00:00,132.0186006,2022-06-17 00:50:00+00:00,133,1,1,0.9813993999999866
B4SK45,2,C:USDJPY,2022-06-16 18:55:00+00:00,131.98840025,2022-06-17 00:50:00+00:00,133,-1,1,-1.0115997499999878
N4G4IZ,2,C:USDJPY,2022-06-16 19:50:00+00:00,132.0346014,2022-06-17 00:50:00+00:00,133,1,1,0.9653985999999861
8MYTBQ,2,C:USDJPY,2022-06-17 00:50:00+00:00,133.16365785000002,2022-06-17 02:40:00+00:00,134,1,1,0.8363421499999788
5O3MMA,2,C:USDJPY,2022-06-17 02:40:00+00:00,134.34071670000003,2022-06-17 02:55:00+00:00,133,1,1,-1.34071670000003
77CHKA,2,C:USDJPY,2022-06-17 02:55:00+00:00,133.6893152,2022-06-17 14:10:00+00:00,135,-1,1,-1.31068479999999
81KCB9,2,C:USDJPY,2022-06-17 03:35:00+00:00,134.10470490000003,2022-06-17 14:10:00+00:00,135,1,1,0.89529509999997
AE384O,2,C:USDJPY,2022-06-17 04:10:00+00:00,133.97430094999999,2022-06-17 14:10:00+00:00,135,-1,1,-1.0256990500000143
85ZXU0,2,C:USDJPY,2022-06-17 04:20:00+00:00,134.14470690000002,2022-06-17 14:10:00+00:00,135,1,1,0.855293099999983
2U43SE,2,C:USDJPY,2022-06-17 04:30:00+00:00,133.95430195,2022-06-17 14:10:00+00:00,135,-1,1,-1.0456980499999986
OUJUQB,2,C:USDJPY,2022-06-17 04:35:00+00:00,134.03470140000002,2022-06-17 14:10:00+00:00,135,1,1,0.9652985999999828
D2KYP0,2,C:USDJPY,2022-06-17 04:40:00+00:00,133.93030315000001,2022-06-17 14:10:00+00:00,135,-1,1,-1.0696968499999855
3R513J,2,C:USDJPY,2022-06-17 05:40:00+00:00,134.00770005,2022-06-17 14:10:00+00:00,135,1,1,0.9922999499999889
I61M7I,2,C:USDJPY,2022-06-17 06:05:00+00:00,133.98830025,2022-06-17 14:10:00+00:00,135,-1,1,-1.0116997499999911
4FFYBP,2,C:USDJPY,2022-06-17 06:20:00+00:00,134.0407017,2022-06-17 14:10:00+00:00,135,1,1,0.9592983000000004
QIT2SY,2,C:USDJPY,2022-06-17 06:35:00+00:00,133.8793057,2022-06-17 14:10:00+00:00,135,-1,1,-1.1206942999999967
OL8WSH,2,C:USDJPY,2022-06-17 06:40:00+00:00,134.05170225,2022-06-17 14:10:00+00:00,135,1,1,0.9482977499999947
38VRPN,2,C:USDJPY,2022-06-17 14:10:00+00:00,135.0547524,2022-06-21 11:35:00+00:00,136,1,1,0.9452475999999876
XZFC8U,2,C:USDJPY,2022-06-17 15:35:00+00:00,134.9812506,2022-06-21 11:35:00+00:00,136,-1,1,-1.0187493999999901
MMZR33,2,C:USDJPY,2022-06-17 17:05:00+00:00,134.97425095,2022-06-21 11:35:00+00:00,136,-1,1,-1.0257490500000017
0CV1X5,2,C:USDJPY,2022-06-17 17:10:00+00:00,135.06975315,2022-06-21 11:35:00+00:00,136,1,1,0.9302468500000032
UBXO61,2,C:USDJPY,2022-06-17 17:25:00+00:00,134.97825075,2022-06-21 11:35:00+00:00,136,-1,1,-1.0217492499999992
FHUWTD,2,C:USDJPY,2022-06-17 19:20:00+00:00,135.01275030000002,2022-06-21 11:35:00+00:00,136,1,1,0.9872496999999782
M1F6JC,2,C:USDJPY,2022-06-17 19:30:00+00:00,134.97625085,2022-06-21 11:35:00+00:00,136,-1,1,-1.0237491499999862
V0COCT,2,C:USDJPY,2022-06-17 20:05:00+00:00,134.97825075,2022-06-21 11:35:00+00:00,136,-1,1,-1.0217492499999992
0UNCMO,2,C:USDJPY,2022-06-19 22:00:00+00:00,135.1607577,2022-06-21 11:35:00+00:00,136,1,1,0.8392422999999951
CFG86V,2,C:USDJPY,2022-06-20 05:55:00+00:00,135.06975315,2022-06-21 11:35:00+00:00,136,1,1,0.9302468500000032
KEBMSO,2,C:USDJPY,2022-06-20 06:00:00+00:00,134.98825025,2022-06-21 11:35:00+00:00,136,-1,1,-1.011749750000007
TPBG2D,2,C:USDJPY,2022-06-20 13:05:00+00:00,135.12575595,2022-06-21 11:35:00+00:00,136,1,1,0.8742440499999873
Z3KB7I,2,C:USDJPY,2022-06-20 13:20:00+00:00,134.9652514,2022-06-21 11:35:00+00:00,136,-1,1,-1.0347486000000004
LLHKHP,2,C:USDJPY,2022-06-20 13:25:00+00:00,135.0527523,2022-06-21 11:35:00+00:00,136,1,1,0.9472476999999913
2520CB,2,C:USDJPY,2022-06-20 14:50:00+00:00,134.9412526,2022-06-21 11:35:00+00:00,136,-1,1,-1.0587473999999872
ML7JB8,2,C:USDJPY,2022-06-20 15:00:00+00:00,135.03775155000002,2022-06-21 11:35:00+00:00,136,1,1,0.9622484499999757
JXEGNX,2,C:USDJPY,2022-06-20 15:15:00+00:00,134.97625085,2022-06-21 11:35:00+00:00,136,-1,1,-1.0237491499999862
MHW14V,2,C:USDJPY,2022-06-20 15:20:00+00:00,135.02675100000002,2022-06-21 11:35:00+00:00,136,1,1,0.9732489999999814
B7IND0,2,C:USDJPY,2022-06-20 15:30:00+00:00,134.99025015,2022-06-21 11:35:00+00:00,136,-1,1,-1.0097498499999915
NT3BLW,2,C:USDJPY,2022-06-20 15:35:00+00:00,135.02175075,2022-06-21 11:35:00+00:00,136,1,1,0.9782492500000046
4VW5XJ,2,C:USDJPY,2022-06-20 15:45:00+00:00,134.98625035,2022-06-21 11:35:00+00:00,136,-1,1,-1.013749649999994
L1LB9H,2,C:USDJPY,2022-06-20 15:55:00+00:00,135.01475040000003,2022-06-21 11:35:00+00:00,136,1,1,0.9852495999999746
97SKIY,2,C:USDJPY,2022-06-20 21:05:00+00:00,135.05675250000002,2022-06-21 11:35:00+00:00,136,1,1,0.943247499999984
