,candle_size,percent_candle_size,parkinson_volatility,shortterm_momentum,momentum,longterm_momentum,extralongterm_momentum,percent2MA_shortterm,percent2MA_longterm
HGKWJF,-0.03500000000002501,-0.00022866550809492238,0.019350753543673035,-0.17674999999997,-0.2437500000000341,-1.342255665204675,,-0.0010034869130619657,-0.010956138761229216
EG2ZQM,0.16500000000002046,0.0010786287686636801,0.019350753543673035,-0.10016666666666652,-0.3277222222222065,-1.3290347222222465,,-0.0009611250496617355,-0.011349169692323422
ZBTK9J,-0.14700000000001978,-0.0009599937306533167,0.019350753543673035,-0.052583333333330984,-0.349277777777786,-1.3214190423976788,,0.000216099699801073,-0.010262656396836121
A9XAKO,0.10300000000000864,0.0006733302390649773,0.019350753543673035,-0.047000000000025466,-0.3605833333333237,-1.3158753654970496,,-0.0006467629189260988,-0.011165329064210016
L8TJMY,0.08499999999995111,0.000555290612975189,0.019350753543673035,-0.0059166666666783385,-0.35933333333332484,-1.3101867690058384,,6.805495137875863e-05,-0.01041109366159264
677ZTX,-0.011999999999972033,-7.852683654620674e-05,0.019994980846497954,-0.15475000000000705,-0.043944444444434794,-1.1996728801169638,,-0.002279161046749232,-0.01093444944198706
R28NDL,0.0049999999999954525,3.268230187985628e-05,0.019994980846497954,0.06883333333337305,-0.18861111111112905,-1.162353252923964,,0.0007424390594900794,-0.009320078412494385
SD998G,0.04899999999997817,0.00032030749519524487,0.019994980846497954,0.04741666666666333,-0.09608333333332553,-1.1267763157894706,,0.0001378383782361606,-0.009022110730173807
PFX1TL,0.019000000000005457,0.0001241562277417646,0.019994980846497954,0.047000000000025466,-0.08355555555553451,-1.1183623903508817,,0.00042274544840426666,-0.008598860714895275
XUJA6A,-0.0020000000000095497,-1.3075399290068251e-05,0.019994980846497954,-0.015166666666686979,0.02672222222221876,-1.0823711622806798,,-0.00046069548681796496,-0.008626545292586473
LGEMGB,0.0,0.0,0.019994980846497954,-0.04791666666665151,0.03736111111109608,-1.0786514985379938,,-0.00011926214309166535,-0.008128753092470126
8S2K8V,-0.0770000000000266,-0.000503452243958747,0.019994980846497954,-0.004916666666673564,0.041055555555573164,-1.0696083698830705,,-0.0004307999644904101,-0.008200718709816245
79HH8G,-0.03399999999996339,-0.0002221859173335298,0.019994980846497954,0.030250000000023647,-0.042805555555560204,-1.029175255847946,,0.0005857592393303521,-0.006665080048736238
HNGZ3M,0.007000000000005002,4.575701716545086e-05,0.019994980846497954,0.059666666666657875,-0.03786111111111268,-1.0212207602338879,,0.0002680772323967858,-0.006882493775604975
1KU839,-0.0009999999999763531,-6.534794513231999e-06,0.019994980846497954,0.048833333333334394,-0.027555555555522915,-1.005442068713478,,0.0004827185663584059,-0.006465513986168045
315KV3,0.03999999999999204,0.00026150456652344087,0.019994980846497954,-0.1072499999999934,-0.04713888888889528,-0.6162750365496947,,-0.0011944102687720805,-0.0048261206134141595
K2ZRFY,0.0020000000000095497,1.3071639118249642e-05,0.019994980846497954,-0.12733333333332553,-0.057749999999998636,-0.6082447002923459,,-0.0008184855839873596,-0.004498128037275615
AHXGTR,0.33600000000004115,0.0022121126334018557,0.02359093656196765,-0.6654999999999802,-0.08291666666667652,-0.2980572002923907,,-0.0071239861202655975,-0.009978362362120198
7LC0G5,0.10599999999999454,0.0006963422324994386,0.02359093656196765,-0.8305833333333226,-0.14133333333336395,-0.30120339912281224,,-0.004424988568279887,-0.007749849415802614
ESTVO1,0.0,0.0,0.022396001541454432,0.03666666666669016,-0.007638888888891415,-0.14332437865496672,,0.0009090849634731625,0.00010226676659317926
7WKNP9,0.04400000000003956,0.00028579222904973804,0.008971615944847126,0.09466666666665446,0.045166666666659694,0.1683347953216412,-1.5505576388888755,-7.14429528021594e-05,0.0013649668388036405
R0RDPV,0.03300000000001546,0.0002142801485676701,0.008971615944847126,0.030333333333345536,0.05247222222217829,0.16541355994152696,-1.5448243055555224,0.00016885529101566757,0.001639297133597686
LGR8I1,-0.0010000000000331966,-6.496037417391169e-06,0.008971615944847126,-0.0008333333333325754,0.06533333333334213,0.15940387426897473,-1.5334666666666692,-0.00035174492540306773,0.0011742277270127767
Z8510Y,0.15800000000001546,0.0010257608808560265,0.00904562441477633,-0.04075000000000273,0.07880555555556157,0.15342982456144227,-1.5218652777778061,0.00013581273642101317,0.0017228438032632228
B5IOR1,-0.05299999999999727,-0.00034158728521892055,0.007572654598098809,0.0967499999999859,0.11730555555556066,0.1921213450292214,-0.31562152777775054,0.001379528443294773,0.0039814599956823895
HYR9TQ,0.03599999999997294,0.0002305888984254169,0.003401660694934791,0.07475000000002296,0.0774722222222124,0.026175986842105203,0.5686868055555294,0.0014009727165776114,0.0019367271617312708
PV43WM,-0.10599999999999454,-0.0006795655909014793,0.0036222275762169912,-0.021083333333336896,-0.1521111111111395,-0.09336239035084759,0.4988763888888741,-0.0005729214777209253,-0.0027193286652778354
CW6Z7S,-0.10400000000004184,-0.0006712405687475673,0.0070220228294369785,-0.24416666666667197,-0.07374999999998977,-0.6049623538011701,0.2405965277777966,-0.0022656705300767386,-0.007800957229906188
BGDGNV,0.038000000000010914,0.0002451375673322641,0.007041416979957901,-0.12908333333331257,-0.24336111111114178,-0.6308271198830653,0.21568680555557762,-0.00030149279238756793,-0.00712775041144399
QSWUHI,-0.018999999999977035,-0.00012260041942233933,0.007041416979957901,0.06733333333332325,-0.32030555555550677,-0.6532781432748322,0.19207569444444061,6.45269529067039e-06,-0.007222244193593104
VJEREI,-0.013000000000033651,-8.38671801920794e-05,0.007041416979957901,-0.02233333333333576,-0.22724999999999795,-0.6985043859649238,0.15656319444443056,0.00020648491692215316,-0.00677498382077476
JEKWJ3,-0.014999999999986358,-9.678168632401449e-05,0.007041416979957901,0.005249999999989541,-0.21083333333334053,-0.7043181652046826,0.15169236111111672,0.00011561371253903546,-0.006863474071422775
65JICZ,-0.06600000000003092,-0.00042581469318780956,0.007569178217058658,0.08824999999998795,0.005722222222232176,-0.817161001461983,0.03500763888888514,0.0005309371767376324,-0.005993790859227899
JRS1YW,-0.023000000000024556,-0.0001483775240308661,0.007569178217058658,0.03666666666666174,0.046305555555562705,-0.7982324561403402,-0.012342361111109312,0.00043456934608063577,-0.005579089853498063
JJDGOZ,-0.009999999999990905,-6.452195682184781e-05,0.007569178217058658,0.057583333333326436,0.04286111111110813,-0.7970436769006142,-0.017054166666639503,0.0002920471212381609,-0.0057002092205534665
6BO78X,-0.01799999999997226,-0.00011691728102349558,0.010507493241307132,-0.20199999999999818,-0.22522222222224286,-0.7969954312865468,-0.3457520833333376,-0.001985807633798884,-0.009990448679408272
W95P15,0.05299999999999727,0.00034406647623991997,0.011577414005457832,0.14166666666667993,-0.3188611111111186,-0.8898369883040971,-0.4705687500000124,0.0015908588470390963,-0.008530874661159487
J0ZELM,0.027999999999991587,0.00018192922952965827,0.011577414005457832,-0.07650000000001,0.044999999999987494,-0.9158508771930087,-0.5340263888888614,-0.0011217201584037366,-0.008932567326959047
VDD6M7,0.0049999999999954525,3.2466478361062645e-05,0.011577414005457832,-0.12308333333334076,0.06863888888889846,-0.9315524488303879,-0.5644576388889107,-0.00040512567820696313,-0.008071613329919871
UUH4D7,0.014999999999957936,9.741714671644424e-05,0.011577414005457832,-0.0379166666666606,0.06313888888891483,-0.9376962719298092,-0.5790868055555904,-0.0003781601938516464,-0.008144441752995973
GAUXLJ,0.054000000000002046,0.0003506197528780171,0.011577414005457832,0.019499999999965212,0.025111111111129958,-0.9577004751461686,-0.6307750000000283,0.0002803579489054683,-0.007532268532851943
2WWYCE,-0.01099999999999568,-7.143924092556473e-05,0.011577414005457832,0.02966666666668516,0.03483333333335281,-0.9617017543859561,-0.6451916666667046,-6.710508656557447e-05,-0.007658497602557085
IKQUTS,-0.002999999999985903,-1.948051948042794e-05,0.011577414005457832,0.010583333333357814,-0.00236111111109949,-0.9736202485380261,-0.6811888888888689,0.00010336566171072385,-0.007245238495050848
HYZDCC,-0.15300000000002,-0.000993229163285706,0.011577414005457832,0.008583333333348264,-0.005722222222232176,-0.9753876096491183,-0.7024625000000242,0.00027218423247031076,-0.006811289398030535
1MI9D6,-0.025999999999982037,-0.00016895075085600873,0.011577414005457832,-0.01716666666669653,-0.019277777777773508,-0.9770838815789489,-0.7099347222221866,-0.0006569598237141913,-0.007735993334549207
VP25JR,0.055999999999983174,0.0003635466573182148,0.011577414005457832,0.06708333333332916,-0.029111111111120636,-0.975381213450305,-0.8025319444444392,0.0006934914125624604,-0.006099803271901214
61PR18,-0.027000000000043656,-0.00017402401531439472,0.01147773006989771,0.03675000000001205,0.1255833333333385,0.01217123538012288,-1.108510416666661,0.001657582511939668,0.0035222723791973856
CWH8ZT,0.05000000000001137,0.00032021108314608267,0.005476960859121236,0.16558333333333053,0.09230555555555497,0.01609356725148814,0.014143749999988131,0.0019415731394504946,0.00286142302586524
