,candle_size,percent_candle_size,parkinson_volatility,shortterm_momentum,momentum,longterm_momentum,extralongterm_momentum,percent2MA_shortterm,percent2MA_longterm
TB6XP7,0.02100000000004343,0.000154412900095173,0.005154607304148292,0.007000000000005002,-0.023527777777786696,0.11133442982458064,0.2745326388888998,4.902237135912517e-05,0.0008019659280230171
D1SDL6,0.0020000000000379714,1.4703936244011615e-05,0.005154607304148292,0.01116666666666788,-0.021583333333353494,0.1123846856725379,0.2746763888888779,0.00017770413609445362,0.000939150580141171
NA0D0N,0.012000000000000455,8.824632490826393e-05,0.005345582679634125,0.03366666666667584,-0.16719444444444775,0.0921332236841863,0.23041527777780857,-0.0001004926591337945,0.0005065237639657936
WHT3UP,0.08400000000000318,0.0006174699902234152,0.005345582679634125,0.002666666666641504,-0.1794166666666399,0.1006164108187022,0.22960208333333298,0.00030147502169126304,0.000910672847159919
7ZA1VS,0.01999999999995339,0.00014697236919424886,0.005345582679634125,-0.007749999999987267,-0.025472222222219898,0.17532967836257285,0.21597847222221844,-7.654224979097004e-05,0.0009913101241646484
194VDE,0.0020000000000379714,1.470004557042036e-05,0.005345582679634125,-0.05341666666666356,-0.032333333333326664,0.17402119883041678,0.2148895833333313,-0.00015004044968048623,0.0008010791121048537
5SNFH5,-0.09900000000004638,-0.000712317333774968,0.01180531161500661,-0.09683333333333621,-0.016638888888905967,0.8720025584795792,1.164196527777733,-0.0012372279865042926,0.005907160441059206
S3XZ8O,0.04400000000001114,0.00031835151795800036,0.004189725673995385,-0.09183333333334076,-0.004888888888899601,0.06275073099416772,-0.1696041666666872,-0.0002399119438776352,0.00041268064580047615
KSAG7C,0.04899999999997817,0.00035504673574362854,0.004763575002147526,-0.06191666666666151,-0.2640555555555295,0.1439725877193041,0.03490902777778615,4.891189156764418e-05,-0.002541497907280846
4MIPK7,-0.04200000000000159,-0.0003044250353350603,0.004763575002147526,0.04524999999998158,-0.2521111111111338,0.10417269736842627,0.03647986111110413,7.188330018045016e-05,-0.0028559974251979444
OCQ0ZU,0.027999999999991587,0.00020589143638683757,0.014020295004739421,-0.04349999999999454,0.023972222222226947,-0.9869747807017575,-0.8681159722222276,-0.0009440026446766882,-0.007854678343330035
MTQGVG,-0.022999999999967713,-0.000174320340151793,0.012627073079998448,-0.18924999999998704,-0.02199999999999136,-0.6309592470759924,-2.363825694444472,-0.0019081912276156584,-0.007216237161958227
LJUGZ5,0.13399999999998613,0.001022385668289153,0.018013288969098536,0.16508333333331393,-0.07858333333334144,-0.353508040935651,-2.9415486111111306,0.0017994008791266426,-0.001401165059063823
V9BCKY,0.07499999999998863,0.0005678892691642839,0.014032782454444555,0.15541666666666742,0.36650000000000205,-0.06658808479531331,-2.8745229166666775,0.002039085958379971,0.006483149690576597
AXUHJ4,0.005999999999971806,4.5090067409438895e-05,0.014032782454444555,0.0897499999999809,0.11008333333333553,0.9193442982455906,-2.5960284722222013,0.0013903286556331503,0.013033704158484037
56M9E5,0.025999999999953616,0.00019412111664404618,0.01815623931521583,-0.07958333333334622,-0.02061111111109426,0.6324106359649306,0.1950965277777641,-0.0010162355279669118,0.003609745931552673
94SGL5,-0.007999999999981355,-6.0145401508005785e-05,0.009009509566215523,0.03324999999998113,0.03097222222223195,-0.61025475146198,0.7391194444444693,0.00043060086684265793,-0.004717587288251896
YGX249,-0.010999999999967258,-8.14863102996271e-05,0.012813008281369826,-0.007499999999993179,-0.04380555555556498,1.460073282163762,0.7279861111111074,-0.00047264402993814233,0.01003703246939311
878O67,-0.038000000000010914,-0.0002813918529654326,0.012813008281369826,-0.005166666666667652,-0.03925000000000978,1.4151549707602271,0.7839277777777909,0.000383975741622714,0.009919822111281743
JY1GFL,0.01999999999998181,0.00014813498059418283,0.012813008281369826,0.014333333333325982,-0.001694444444410692,1.1599480994152032,0.9351979166666524,0.00023460207783355814,0.00830857474662531
9FDGRD,0.03299999999995862,0.00024433223260397904,0.012813008281369826,0.022999999999996135,0.0020277777778119344,1.0617249634503025,0.986081944444436,0.0005383141384010324,0.008220404048064709
8G6QE0,0.023999999999972488,0.00017771590631389432,0.01334062730308265,0.08283333333335463,0.13586111111112587,-0.2999572368421184,1.5292937499999937,0.0009079151673713987,0.0003328652849285409
D1AU16,-0.0009999999999763531,-7.406529596317129e-06,0.01334062730308265,0.013249999999999318,0.01205555555554838,-0.18322149122806763,1.480401388888879,0.00025867822219518123,8.549100384642121e-05
SZOBNW,0.0010000000000047748,7.408175662696687e-06,0.01334062730308265,0.02183333333331916,-0.004555555555555202,-0.16755281432747893,1.4736819444444507,4.5685837019930174e-05,-0.0001393726000567235
XPIUO8,0.01799999999997226,0.0001333283952444151,0.004885966713593666,-0.01658333333332962,0.012166666666672654,0.05804568713455183,0.8185951388888668,0.0003068729033695863,0.0010640030562219078
7V60NQ,0.022999999999996135,0.00017039435179763178,0.004885966713593666,0.043416666666672654,-0.0017500000000154614,0.05895211988303117,0.8152284722222589,0.0001562192231150377,0.000874704310345156
09WEDO,-0.043000000000006366,-0.0003185114404865549,0.004885966713593666,0.04391666666668925,-0.007111111111129276,0.05958095760234983,0.8137944444444543,0.0003278779627108671,0.0010304875237118006
CL0T6W,0.044999999999987494,0.0003334345986557954,0.004885966713593666,0.02924999999999045,-0.01613888888888937,0.05954495614034272,0.8121562500000437,5.372290466777267e-05,0.0006986937069214282
31WLH8,-0.008000000000009777,-5.9253992237799435e-05,0.004885966713593666,0.036083333333351675,-0.015388888888878682,0.060271564327479155,0.810474305555573,0.0004205097615690672,0.0010865251672872737
WWIPT6,0.040000000000020464,0.000296351176143882,0.004885966713593666,0.030750000000011823,-0.008722222222218079,0.06048538011694404,0.8078618055555751,5.74213373984227e-05,0.0007968724866025298
VTKVRT,0.0020000000000095497,1.4812839769582943e-05,0.004885966713593666,0.021583333333325072,-0.0007222222222083019,0.05956304824562153,0.8071576388888673,0.0002932567614204425,0.0011029973708330963
4GS2OY,-0.019000000000005457,-0.00014071051403776564,0.004885966713593666,0.026916666666636502,-0.003944444444442752,0.048806652046778254,0.7939236111111256,0.00046616649985520774,0.0009651782686680932
WTINC4,-0.0009999999999763531,-7.408175662486133e-06,0.004885966713593666,0.03366666666667584,-5.5555555547925906e-05,0.04970741959067482,0.7923923611110979,8.643618663293557e-05,0.0006291902636611203
27OHKQ,0.08100000000001728,0.0006092515983453726,0.011099953744291851,0.0457500000000266,-1.2080555555555463,-0.32525913742688317,0.5225680555555527,-0.0006883812642537322,-0.014796932062578927
RVJQDY,-0.040000000000020464,-0.00030069309759009864,0.011099953744291851,-0.0015833333333148403,-1.1480555555555725,-0.3450080409356815,0.5164687500000014,-0.0001572127125579356,-0.014183371548218948
X7VLPL,-0.02400000000000091,-0.0001804809818165479,0.011099953744291851,-0.07749999999998636,-1.077111111111094,-0.3653839546783786,0.5103472222222081,-0.0006325364209459511,-0.014487632390625914
RE92V9,-0.045000000000015916,-0.0003383382329723083,0.014310718346319324,0.015166666666658557,0.2848888888888723,-1.7417341008772098,0.004396527777771553,0.00038986745760024894,-0.01006296983248908
ZTY3SW,0.0,0.0,0.014310718346319324,0.026999999999986812,0.2767499999999927,-1.7361043494152,-0.002527083333347946,3.0085819800912184e-05,-0.010349436836609615
QDXK4K,-0.08400000000000318,-0.0006361226808027503,0.014965861199200101,-0.06266666666664378,-0.31425000000001546,-0.2696087353801033,-1.428161111111109,-6.310342651600243e-05,-0.0053498954216053395
V2YAJQ,-0.014999999999986358,-0.00011367511651689105,0.014965861199200101,-0.056083333333333485,-0.316555555555567,-0.2760836988304334,-1.431493055555535,-0.0006140998073126027,-0.006033365627690194
GVEZTJ,0.0579999999999643,0.00043925417670108224,0.014965861199200101,-0.03700000000000614,-0.30249999999995225,-0.28680902777776396,-1.4374868055555794,0.00018936955089100084,-0.005318789841062949
7K9HDO,-0.011000000000024102,-8.33364900187439e-05,0.014965861199200101,-0.004166666666662877,-0.1884722222222024,-0.3080418494152184,-1.4521375000000205,-0.00037992050699836463,-0.005527125251586986
XG5UR3,0.013000000000033651,9.840508073026906e-05,0.014965861199200101,-0.02958333333333485,-0.1423333333333403,-0.31530994152043945,-1.4553277777777964,0.0003716803548947537,-0.004647911495460328
H6XDHU,0.04200000000000159,0.000315647076506851,0.014965861199200101,0.03683333333333394,0.006833333333332803,-0.04437536549704646,-1.389866666666677,0.0007282718647645742,0.002140775259707312
52LVTG,0.012000000000028876,9.022963441981503e-05,0.014965861199200101,-0.01658333333332962,-0.004777777777775327,0.12668439327484293,-1.3812125000000037,-7.706520656283535e-05,0.0015744705809657938
USHIAZ,0.0069999999999765805,5.263316189942991e-05,0.014965861199200101,-0.006249999999994316,-0.0038333333333469,0.12941538742688863,-1.3808263888888632,-4.949778544384384e-05,0.0015868086966310613
4U0W5A,0.014999999999957936,0.00011279128348929562,0.014965861199200101,-0.0069999999999765805,-0.005138888888865267,0.13179459064329535,-1.380447222222216,-8.270676691726075e-05,0.001531394529215882
SRXVPH,0.005000000000023874,3.759313699708935e-05,0.014965861199200101,-0.0019166666666876608,-0.007805555555563615,0.1346118421052438,-1.3800187499999765,3.822115008055145e-05,0.00163326552378863
TVS20F,-0.09799999999998477,-0.0007367922471410564,0.014965861199200101,0.0016666666666651508,-0.009805555555573164,0.1426553362573486,-1.3793638888889177,7.518853525207637e-05,0.0016724266429974843
995GEQ,0.07900000000000773,0.0005938331554340073,0.005721412808440446,0.035666666666656965,0.14894444444445298,-0.20801388888887118,-0.48400486111108876,0.0004286455552463054,-0.0020461369020723643
MX1VP9,0.14999999999997726,0.0011112922105822967,0.012384068167953084,-0.1397500000000207,0.12569444444446276,0.46065661549707215,1.0064000000000135,-0.0015416982845293111,0.004067419962228213
EZGTDW,0.012000000000000455,8.880337452823543e-05,0.012384068167953084,-0.1313333333333162,0.11633333333330143,0.46777357456139157,1.007272222222241,-0.00040931461992910575,0.005181078158615368
3T8PAU,0.06700000000000728,0.0004963661552367169,0.011136778579014716,0.04999999999998295,-0.271000000000015,0.6036030701754385,1.10063055555554,0.00017536406567994213,0.0023760274640185516
61RZUR,-0.016999999999995907,-0.00012588023606243594,0.011136778579014716,0.04791666666665151,-0.247388888888878,0.5998545321637323,1.1021215277777685,0.0005871686062988322,0.002858864072095532
T2R7CU,-0.026999999999986812,-0.0001999940742495542,0.011136778579014716,0.05308333333334758,-0.21741666666667925,0.5944237938596473,1.1048027777777634,0.00021053190484445305,0.0024837810897092726
U5ITEP,0.029000000000024784,0.00021485460270438816,0.011136778579014716,0.024416666666667197,-0.20036111111113541,0.5897593201754603,1.1060263888888642,-3.395575256748705e-05,0.0022489031037956626
E77UN5,-0.02200000000001978,-0.00016295330647087417,0.011136778579014716,0.0018333333333373503,-0.17561111111112382,0.5851644736841877,1.1073409722222323,0.00010494306530062882,0.002473549724846564
ADA6Y1,0.031000000000034333,0.00022966365387490253,0.011136778579014716,-0.01266666666666083,-0.1598333333333528,0.5812083333333646,1.1086229166666612,-0.00015061691205695452,0.0022457963635981178
UYARJE,0.023000000000024556,0.0001703590131030121,0.011136778579014716,-0.009749999999996817,-0.14194444444444798,0.577820540935619,1.109952777777778,1.851731832152274e-06,0.0024407082183982676
VYJFBS,0.019000000000005457,0.00014070530384944132,0.011136778579014716,-0.04408333333333303,0.04894444444445867,0.4930604897660942,1.1313249999999755,-0.00013636680572790173,0.0023016463685107944
IGD053,0.0660000000000025,0.0004888744037213898,0.0067585693528688425,0.02574999999998795,0.030361111111091077,-0.013800621345041009,1.1924298611111226,0.0002920519272030271,-0.000766236418642673
T3L52X,-0.11600000000001387,-0.0008469255143613296,0.010732170048594952,0.06716666666665105,-0.01730555555553792,0.6208927266081901,1.6219680555555556,0.00033474494261244734,0.006176476852591689
U2IP1J,0.03100000000000591,0.00022628893447114752,0.011275157145874778,-0.06533333333334213,0.09327777777778579,0.608957054093537,1.7285604166666815,-0.0006954153647891986,0.005152561783444
UOONOM,0.025000000000005684,0.00018244845831056876,0.011275157145874778,-0.06291666666666629,0.08013888888891074,0.609971491228066,1.7322312500000123,-0.0003836027164665094,0.005342813461921139
9DQTHZ,0.06400000000002137,0.00046804496156927714,0.0066232105366279955,-0.20341666666664082,0.01963888888889187,-0.005657711988305891,1.5821124999999938,-0.005146854198332999,-0.0046146938060563185
3NRG0B,0.06399999999996453,0.0004669487815552643,0.007594306951004029,0.14433333333334986,0.09916666666666174,-0.06045376461989349,0.4012576388889215,0.0017102012775350364,0.0027926228743774496
DJUK4S,0.016999999999995907,0.00012400612736155744,0.007594306951004029,-0.15133333333332644,-0.014277777777778056,0.22342342836256535,0.3740527777777629,0.00017509812790918907,0.002067564850834269
621IGY,0.08400000000000318,0.000613183444047034,0.004397516957596068,-0.14333333333331666,0.23708333333331666,0.19276041666665833,-0.15738819444442242,-0.0013510689482558933,0.00193827344565371
9PMAT5,0.02600000000001046,0.00018968963856835728,0.004397516957596068,-0.12050000000002115,0.20716666666669425,0.19398410087720208,-0.1569826388889055,-0.0006574014778774726,0.002486801651264983
GQA5WO,-0.005000000000023874,-3.596656548090085e-05,0.004074761610512799,0.033999999999991815,0.08561111111112041,0.11571582602337571,0.785782638888918,0.00045098424913525353,0.0025089275016628313
BTQUMI,-0.026999999999986812,-0.00019293293793981074,0.00815512541846015,0.057666666666648325,0.3034444444444375,0.2095736476608181,0.9582749999999862,-9.288500835968812e-05,0.0051540626166297916
EG22DG,0.028999999999996362,0.00020721686316539024,0.009155132695534564,-0.04574999999999818,-0.15605555555558226,0.12364784356728364,1.2171590277777682,-0.001018967790981379,-0.0016665888504128416
LUHEL8,0.046999999999997044,0.00033562558466688835,0.009155132695534564,-0.07933333333335213,-0.15663888888889232,0.11433059210526153,1.2140236111111165,-0.0002260795895346541,-0.0010515167410069112
7GGZOU,-0.043000000000006366,-0.0002986422196757048,0.01980194937099839,-0.046499999999980446,-0.016972222222250366,0.44550328947366324,2.8026111111111334,-0.0005911471377950217,0.0006632690956997157
I7KJCW,-0.16300000000001091,-0.0011323926832149595,0.01075071801551718,0.008166666666681976,0.3359999999999843,-0.17530994152048152,2.2172777777777526,-0.0011068510261791433,-0.0004436516154318375
HZS33Z,-0.09800000000001319,-0.0006802154478317313,0.009520456527618602,-0.04266666666666197,0.05641666666664946,-0.09743622076024394,2.1275638888888864,0.0002360488204502995,0.0007138630152368876
S9XY6V,-0.06800000000001205,-0.0004723107804936484,0.00929742562186848,-0.03233333333329824,0.039611111111071295,-0.09755646929824024,2.123154861111118,-0.0004235111154309304,3.726242580716289e-05
N8EIOR,-0.033999999999991815,-0.00023605209808653263,0.009217491310603024,-0.015999999999991132,-0.051444444444456394,-0.09545668859649936,2.095684027777793,0.0004537961436589546,0.0005497161729362024
QO3ZA0,-0.0010000000000047748,-6.945216135159287e-06,0.009217491310603024,0.023250000000018645,-0.05733333333336077,0.0917774122806918,1.9662249999999801,3.183325394329574e-05,0.000292797627051105
DB5ET3,0.0069999999999765805,4.860638549013693e-05,0.009217491310603024,0.012416666666666742,-0.002166666666681749,0.06718384502923413,1.942932638888891,0.00020661982126522204,0.0004766950813472011
HRFYIB,0.027999999999991587,0.0001946106743954321,0.011522514628438894,-0.14633333333333098,1.3774722222222238,-0.006856907894729147,-0.6641937500000097,-0.0025120286191007016,0.009281799881316851
S0XGHD,0.09199999999998454,0.0006384100813277857,0.011522514628438894,-0.22175000000001432,1.112194444444441,0.06356926169590338,-0.6504180555555479,-0.0004722234906043751,0.01077707332561287
87BZKR,-0.1839999999999975,-0.0012874425373812963,0.012837602083343648,-0.14450000000002206,-0.09338888888891006,-0.7993333333333226,0.7417881944444389,-0.001277644940491006,-0.00794670880847941
68BOR9,0.07399999999998386,0.0005174571874102936,0.004822665449884988,-0.01833333333331666,-0.1319166666666831,-0.1530296052631286,0.14907013888887377,0.0001422044013429315,-0.002233962066687275
WOBC60,0.04800000000000182,0.0003359580052493566,0.004246103081872878,0.009916666666669016,-0.12894444444447117,-0.16016758040939294,0.1457215277777948,-0.0007256323054998797,-0.0031362156412018467
71ERKM,-0.027999999999991587,-0.00019580282655360162,0.004048431764971122,0.0036666666666747005,-0.1098611111111154,-0.17389729532166598,0.13592430555559076,0.00021216473309218817,-0.002200889494472945
7GQ6R6,0.05299999999999727,0.0003706993628167365,0.004048431764971122,0.016833333333323708,-0.10527777777778624,-0.17578801169588587,0.13385555555555584,3.3807059613632e-05,-0.0023844181318116485
3I4XN0,0.015999999999991132,0.00011186855444846099,0.004048431764971122,0.02566666666666606,-0.09313888888885913,-0.1762017543859713,0.13188680555558108,0.00035670821268194016,-0.002010167715555159
1E7ORE,-0.016999999999995907,-0.00011805227632562921,0.004998727341870007,-0.021833333333347582,0.0026666666666699257,0.10565551900586456,0.3919916666666552,2.6620339559689014e-05,0.0017522689945101988
PQXKB5,-0.001999999999981128,-1.389014285998825e-05,0.004998727341870007,-0.005333333333339851,-0.007388888888897327,0.10899269005849987,0.3923534722222257,-4.629833256551055e-05,0.0016268243804531384
IKML1M,-0.04200000000000159,-0.0002916261630329231,0.004998727341870007,0.005083333333317341,-0.012750000000011141,0.11604002192981966,0.3931326388888863,0.0001904033251713649,0.0018395666312309485
5ITNFD,-0.01999999999998181,-0.0001389139705778947,0.004998727341870007,-0.0008333333333325754,-0.012638888888886868,0.12036513157895001,0.39309513888886727,-0.00014005196969795602,0.0015134104863998557
90ESXX,-0.07099999999996953,-0.0004929699704910227,0.004998727341870007,0.005249999999989541,-0.03288888888889119,0.14461001461987166,0.39165625000001114,0.00027722779153630027,0.0018553037015790334
29HUZV,0.044999999999987494,0.00031259768677703093,0.004998727341870007,0.006749999999982492,-0.038027777777756455,0.15000255847951394,0.3916263888889091,-0.00018694477257848876,0.0013628608087402497
DMLFIC,-0.057999999999992724,-0.00040274421575974727,0.006608683703721574,0.19924999999997794,-0.3603333333333012,0.22916008771929341,0.44023263888888664,0.0019707261073374747,0.0010133836733145361
OZ7EK0,-0.08799999999999386,-0.0006113191294259427,0.006608683703721574,0.20549999999997226,-0.3181666666666274,0.2281319444444705,0.4406055555555497,0.0013344076609605646,0.0005830515379619322
PBL1LC,-0.02600000000001046,-0.0001805016557556456,0.006608683703721574,0.006250000000022737,0.03980555555554588,0.21457236842107363,0.44650833333335527,0.00036750216016039565,0.001126800208853353
KUQ1Z9,0.011999999999943611,8.333506948022257e-05,0.006608683703721574,-0.004916666666645142,0.10280555555553406,0.21023739035084077,0.4481208333333484,-8.737844414273717e-05,0.0007832537325815457
053SFZ,0.06999999999999318,0.00048609085732534196,0.006608683703721574,-0.010083333333341216,0.11408333333332621,0.20721637426902362,0.4486069444444354,-3.066907775761799e-05,0.0008382443279508753
2AELAL,0.09499999999999886,0.0006730667044528595,0.02283752317810895,0.0199166666666315,-1.086666666666673,-1.043711074561429,0.4404597222222435,0.0023856178785814294,-0.019478766307412795
