,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
N2LOMU,2,C:USDJPY,2024-02-28 04:40:00+00:00,150.6357658,2024-02-28 15:00:00+00:00,150.8,1,1,0.16423420000000988,-41.08618392489612
8LBN15,2,C:USDJPY,2024-02-28 06:15:00+00:00,150.61376525,2024-02-28 15:00:00+00:00,150.8,1,1,0.18623475000001122,-40.89994917489611
VUJ7SH,2,C:USDJPY,2024-02-28 06:35:00+00:00,150.6077651,2024-02-28 15:00:00+00:00,150.8,1,1,0.19223490000001675,-40.70771427489609
O2G4SK,2,C:USDJPY,2024-02-28 13:40:00+00:00,150.62576555,2024-02-28 15:00:00+00:00,150.8,1,1,0.17423445000000015,-40.53347982489609
VT18WG,2,C:USDJPY,2024-02-28 16:00:00+00:00,150.814770275,2024-02-28 22:05:00+00:00,150.60000000000002,1,1,-0.21477027499997803,-40.74825009989607
ENQDN2,2,C:USDJPY,2024-02-28 16:05:00+00:00,150.76423079999998,2024-02-28 22:05:00+00:00,150.6,-1,1,0.16423079999998436,-40.584019299896084
O7R6H5,2,C:USDJPY,2024-02-28 16:10:00+00:00,150.81177019999998,2024-02-28 22:05:00+00:00,150.60000000000002,1,1,-0.21177019999996105,-40.795789499896046
3XFWEX,2,C:USDJPY,2024-02-28 16:15:00+00:00,150.74923117499998,2024-02-28 22:05:00+00:00,150.6,-1,1,0.14923117499998284,-40.64655832489606
8FNZMZ,2,C:USDJPY,2024-02-28 23:05:00+00:00,150.551236125,2024-02-29 01:30:00+00:00,150.4,-1,1,0.15123612499999695,-40.495322199896066
DKVSW0,2,C:USDJPY,2024-02-28 23:20:00+00:00,150.6117652,2024-02-29 01:30:00+00:00,150.4,1,1,-0.2117652000000021,-40.70708739989607
7Z9WHY,2,C:USDJPY,2024-02-28 23:30:00+00:00,150.593235075,2024-02-29 01:30:00+00:00,150.4,-1,1,0.19323507499998982,-40.51385232489608
HYS001,2,C:USDJPY,2024-02-28 23:35:00+00:00,150.62676557499998,2024-02-29 01:30:00+00:00,150.4,1,1,-0.2267655749999733,-40.74061789989605
VRLBP6,2,C:USDJPY,2024-02-29 00:10:00+00:00,150.59023514999998,2024-02-29 01:30:00+00:00,150.4,-1,1,0.19023514999997815,-40.55038274989607
DEPVIJ,2,C:USDJPY,2024-02-29 01:35:00+00:00,150.38824019999998,2024-02-29 01:55:00+00:00,150.20000000000002,-1,1,0.18824019999996722,-40.362142549896106
W6DVZQ,2,C:USDJPY,2024-02-29 02:05:00+00:00,150.17824545,2024-02-29 02:15:00+00:00,150.0,-1,1,0.17824544999999148,-40.183897099896114
H2AIY7,2,C:USDJPY,2024-02-29 02:20:00+00:00,149.91825194999998,2024-02-29 02:35:00+00:00,149.8,-1,1,0.1182519499999728,-40.06564514989614
HBCTZS,2,C:USDJPY,2024-02-29 02:40:00+00:00,149.777255475,2024-02-29 05:30:00+00:00,150.0,-1,1,-0.22274452499999597,-40.28838967489614
XA40G9,2,C:USDJPY,2024-02-29 02:45:00+00:00,149.818745375,2024-02-29 05:30:00+00:00,150.0,1,1,0.18125462500000822,-40.10713504989613
DM5Q2O,2,C:USDJPY,2024-02-29 03:00:00+00:00,149.781255375,2024-02-29 05:30:00+00:00,150.0,-1,1,-0.21874462499999936,-40.32587967489613
7BLOZP,2,C:USDJPY,2024-02-29 03:15:00+00:00,149.8117452,2024-02-29 05:30:00+00:00,150.0,1,1,0.18825480000000994,-40.13762487489612
IEC75E,2,C:USDJPY,2024-02-29 03:25:00+00:00,149.77025565,2024-02-29 05:30:00+00:00,150.0,-1,1,-0.22974435000000426,-40.36736922489612
0UEWEF,2,C:USDJPY,2024-02-29 03:40:00+00:00,149.8157453,2024-02-29 05:30:00+00:00,150.0,1,1,0.18425469999999677,-40.183114524896126
CTEAIQ,2,C:USDJPY,2024-02-29 04:10:00+00:00,149.7722556,2024-02-29 05:30:00+00:00,150.0,-1,1,-0.22774440000000595,-40.41085892489613
UQA445,2,C:USDJPY,2024-02-29 04:35:00+00:00,149.803745,2024-02-29 05:30:00+00:00,150.0,1,1,0.19625500000000784,-40.214603924896124
AB3BGW,2,C:USDJPY,2024-02-29 05:10:00+00:00,149.76525577499999,2024-02-29 05:30:00+00:00,150.0,-1,1,-0.23474422500001424,-40.44934814989614
PBS7NP,2,C:USDJPY,2024-02-29 05:15:00+00:00,149.82974564999998,2024-02-29 05:30:00+00:00,150.0,1,1,0.17025435000002176,-40.27909379989612
3T9IRF,2,C:USDJPY,2024-02-29 05:25:00+00:00,149.7362565,2024-02-29 05:30:00+00:00,150.0,-1,1,-0.2637435000000039,-40.54283729989612
XCMJKY,2,C:USDJPY,2024-02-29 05:30:00+00:00,149.958748875,2024-02-29 05:30:00+00:00,150.0,1,1,0.041251125000002276,-40.50158617489612
P35ABS,2,C:USDJPY,2024-02-29 05:35:00+00:00,150.022750475,2024-02-29 06:25:00+00:00,149.8,1,1,-0.222750474999998,-40.72433664989612
4RWOI6,2,C:USDJPY,2024-02-29 05:40:00+00:00,149.959250925,2024-02-29 06:25:00+00:00,149.8,-1,1,0.15925092499998073,-40.565085724896136
Z9RVRS,2,C:USDJPY,2024-02-29 06:30:00+00:00,149.78625524999998,2024-02-29 10:35:00+00:00,150.0,-1,1,-0.2137447500000178,-40.778830474896154
KLJRAV,2,C:USDJPY,2024-02-29 06:35:00+00:00,149.8117452,2024-02-29 10:35:00+00:00,150.0,1,1,0.18825480000000994,-40.590575674896144
5QJ4PP,2,C:USDJPY,2024-02-29 06:40:00+00:00,149.7682557,2024-02-29 10:35:00+00:00,150.0,-1,1,-0.23174430000000257,-40.822319974896146
6RWOBH,2,C:USDJPY,2024-02-29 07:50:00+00:00,149.70925717499998,2024-02-29 10:35:00+00:00,150.0,-1,1,-0.2907428250000237,-41.11306279989617
J0I9ZQ,2,C:USDJPY,2024-02-29 08:35:00+00:00,149.803745,2024-02-29 10:35:00+00:00,150.0,1,1,0.19625500000000784,-40.91680779989616
SLF53V,2,C:USDJPY,2024-02-29 08:45:00+00:00,149.797254975,2024-02-29 10:35:00+00:00,150.0,-1,1,-0.2027450250000129,-41.119552824896175
6EWF4W,2,C:USDJPY,2024-02-29 09:25:00+00:00,149.808745125,2024-02-29 10:35:00+00:00,150.0,1,1,0.1912548749999985,-40.92829794989618
EVELF5,2,C:USDJPY,2024-02-29 10:05:00+00:00,149.8197454,2024-02-29 10:35:00+00:00,150.0,1,1,0.18025460000001203,-40.748043349896165
8OT597,2,C:USDJPY,2024-02-29 10:40:00+00:00,150.0117502,2024-02-29 13:30:00+00:00,149.8,1,1,-0.21175019999998312,-40.95979354989615
9IJBAW,2,C:USDJPY,2024-02-29 11:30:00+00:00,149.98425029999999,2024-02-29 13:30:00+00:00,149.8,-1,1,0.18425029999997378,-40.775543249896174
G5GDAM,2,C:USDJPY,2024-02-29 11:45:00+00:00,150.04475102499998,2024-02-29 13:30:00+00:00,149.8,1,1,-0.24475102499997092,-41.020294274896145
0F24SO,2,C:USDJPY,2024-02-29 11:55:00+00:00,149.99325007500002,2024-02-29 13:30:00+00:00,149.8,-1,1,0.1932500750000088,-40.827044199896136
BKNCKD,2,C:USDJPY,2024-02-29 12:25:00+00:00,150.02975065,2024-02-29 13:30:00+00:00,149.8,1,1,-0.22975064999999972,-41.056794849896136
L93TGM,2,C:USDJPY,2024-02-29 12:35:00+00:00,149.99025014999998,2024-02-29 13:30:00+00:00,149.8,-1,1,0.1902501499999687,-40.86654469989617
0P9WGQ,2,C:USDJPY,2024-02-29 12:40:00+00:00,150.0237505,2024-02-29 13:30:00+00:00,149.8,1,1,-0.2237504999999942,-41.09029519989616
VV0CFW,2,C:USDJPY,2024-02-29 13:35:00+00:00,149.97725047499998,2024-02-29 13:45:00+00:00,149.8,-1,1,0.1772504749999655,-40.913044724896196
A27GLD,2,C:USDJPY,2024-02-29 13:50:00+00:00,149.77025565,2024-02-29 14:10:00+00:00,149.6,-1,1,0.17025565000000142,-40.742789074896194
3P5J2C,2,C:USDJPY,2024-02-29 14:35:00+00:00,149.81074517499997,2024-02-29 14:45:00+00:00,149.60000000000002,1,1,-0.21074517499994272,-40.95353424989614
FJ975F,2,C:USDJPY,2024-02-29 14:45:00+00:00,149.676258,2024-02-29 14:45:00+00:00,149.6,-1,1,0.07625799999999572,-40.87727624989614
0BWC3E,2,C:USDJPY,2024-02-29 15:05:00+00:00,149.319266925,2024-02-29 15:55:00+00:00,149.6,-1,1,-0.28073307500000055,-41.15800932489614
A3U3AR,2,C:USDJPY,2024-02-29 15:20:00+00:00,149.432735725,2024-02-29 15:55:00+00:00,149.6,1,1,0.16726427500000796,-40.990745049896134
2TQMSS,2,C:USDJPY,2024-02-29 15:25:00+00:00,149.313267075,2024-02-29 15:55:00+00:00,149.6,-1,1,-0.2867329249999955,-41.27747797489613
L35692,2,C:USDJPY,2024-02-29 15:50:00+00:00,149.43373575,2024-02-29 15:55:00+00:00,149.6,1,1,0.16626424999998335,-41.111213724896146
VDK7YY,2,C:USDJPY,2024-02-29 16:00:00+00:00,149.64574105,2024-02-29 16:10:00+00:00,149.8,1,1,0.15425895000001333,-40.95695477489613
