,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
8566RL,2,C:USDJPY,2022-12-13 13:55:00+00:00,135.15837887499998,2022-12-15 05:55:00+00:00,135.6046098,1,8.791443836385627,3.9230141151959854,199.97473072749153
ZNUXN5,2,C:USDJPY,2022-12-13 15:05:00+00:00,135.01637532499998,2022-12-15 07:05:00+00:00,135.69760747499998,1,10.012718300356624,6.820985615096285,206.7957163425878
IH1AEI,2,C:USDJPY,2022-12-14 13:05:00+00:00,134.943626325,2022-12-15 08:15:00+00:00,136.0,-1,9.725271841973166,-10.273521156079244,196.52219518650855
VFSPJZ,2,C:USDJPY,2022-12-14 13:30:00+00:00,135.06237647499998,2022-12-15 08:15:00+00:00,136.0,1,9.569594232449834,8.972676677049481,205.49487186355805
6QMGSE,2,C:USDJPY,2022-12-14 13:45:00+00:00,134.983625325,2022-12-15 08:15:00+00:00,136.0,-1,10.0424002716026,-10.206841312270091,195.28803055128796
31ULIB,2,C:USDJPY,2022-12-14 13:55:00+00:00,135.00237497499998,2022-12-15 08:15:00+00:00,136.0,1,10.12241939727284,10.098378904264996,205.38640945555295
XBGM60,2,C:USDJPY,2022-12-14 19:05:00+00:00,135.50838762499998,2022-12-15 08:15:00+00:00,136.0,1,6.960896626617658,3.422062922741112,208.80847237829406
YMEETU,2,C:USDJPY,2022-12-15 15:10:00+00:00,137.18542954999998,2022-12-15 17:10:00+00:00,138.0,1,8.84032482549924,7.201067371253258,216.00953974954732
TFEQFV,2,C:USDJPY,2022-12-16 15:10:00+00:00,137.00842512499997,2022-12-18 22:00:00+00:00,136.0,1,10.746743271121806,-10.837285926523634,205.17225382302368
3JF012,2,C:USDJPY,2022-12-16 15:15:00+00:00,136.94157637499998,2022-12-18 22:00:00+00:00,136.0,-1,10.286168559502142,9.68521330489482,214.8574671279185
28NIC3,2,C:USDJPY,2022-12-19 21:10:00+00:00,136.989575175,2022-12-20 03:00:00+00:00,136.0,-1,10.689426225269626,10.577990827520766,225.4354579554393
DAC0P2,2,C:USDJPY,2022-12-19 21:15:00+00:00,137.018425375,2022-12-20 03:00:00+00:00,136.0,1,10.615487506320079,-10.811081844431762,214.62437611100754
CGQ834,2,C:USDJPY,2022-12-19 21:20:00+00:00,136.97857545,2022-12-20 03:00:00+00:00,136.0,-1,10.552920782314262,10.326829203367467,224.951205314375
E9FVYJ,2,C:USDJPY,2022-12-20 15:20:00+00:00,132.0113002,2022-12-20 16:10:00+00:00,131.0,1,11.16937464321618,-11.295590810559382,213.6556145038156
8U9RK9,2,C:USDJPY,2022-12-20 15:15:00+00:00,131.89770247500002,2022-12-20 16:50:00+00:00,131.0,-1,10.234358749516703,9.187409179479221,222.84302368329483
AME0WR,2,C:USDJPY,2022-12-20 15:25:00+00:00,131.893702575,2022-12-20 16:50:00+00:00,131.0,-1,10.225054787017099,9.138157792673175,231.98118147596801
3JM7GN,2,C:USDJPY,2022-12-21 13:50:00+00:00,132.03530080000002,2022-12-23 05:50:00+00:00,132.691682625,1,11.239398327323915,7.377336785990623,239.35851826195864
KCGAW5,2,C:USDJPY,2022-12-21 15:25:00+00:00,131.95870094999998,2022-12-23 07:25:00+00:00,132.542313475,-1,11.185206435678237,-6.5278265705725005,232.83069169138614
HZWFYU,2,C:USDJPY,2022-12-21 15:30:00+00:00,132.002299975,2022-12-23 07:30:00+00:00,132.5446863,1,11.587471602196478,6.284886138357156,239.1155778297433
BCC0DK,2,C:USDJPY,2022-12-22 13:20:00+00:00,131.991700125,2022-12-23 13:30:00+00:00,133.0,-1,11.552847683066243,-11.6487348747298,227.4668429550135
59S6E3,2,C:USDJPY,2022-12-22 13:35:00+00:00,132.20930514999998,2022-12-23 13:30:00+00:00,133.0,1,9.60982524755465,7.598439332641654,235.06528228765515
GFF3J0,2,C:USDJPY,2022-12-23 15:15:00+00:00,132.931676625,2022-12-25 22:00:00+00:00,132.340308425,-1,10.99463434460484,6.5018771220272,241.56715940968235
